TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
BR5,ESV_141100,Eukaryota,Arthropoda,Insecta,Coleoptera,Carabidae,Colpodes,Colpodes buchanani,OL343507,100
BR5,ESV_141050,Eukaryota,Arthropoda,Insecta,Lepidoptera,Plutellidae,Acrolepiopsis,Acrolepiopsis sp. BKR0018,MH417375,72.3
BR5,ESV_141050,Eukaryota,Arthropoda,Insecta,Coleoptera,Cerambycidae,Arhopalus,Arhopalus sp. 2 SZZ-2013,KF247257,72.3
BR5,ESV_141050,Eukaryota,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Phocides,Phocides pigmalion,HQ583525,72.3
BR5,ESV_140475,Eukaryota,Arthropoda,Insecta,Diptera,Sciaridae,NA,NA,KT617290,82.3
BR5,ESV_140059,Eukaryota,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,KM562472,71.9
BR5,ESV_139900,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus yatabensis,LC096203,100
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Grzegorzekia,Grzegorzekia hungarica,MH114424,73.9
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia dorsalis,MG096776,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG14749-A11,MF890111,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG27173-E12,MF887110,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG26496-C05,MF885170,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG26190-C08,MF885101,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG15990-H02,MF883853,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BIOUG27360-B01,MF883227,74.2
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,NA,NA,KR984649,73.2
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,NA,NA,KR983436,73.2
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,NA,NA,KR716604,73.2
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BOLD-2016,KR525670,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BOLD:ACC9967,KR254036,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,NA,NA,KR252453,73.5
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,NA,NA,KR248832,73.2
BR5,ESV_139611,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Exechia,Exechia sp. BOLD:ACC9967,KM926732,74.2
BR5,ESV_138302,Eukaryota,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,MG377043,98.7
