TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Agaraceae,Costaria,Costaria costata,ON552981,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria solidungula,NC_056140,78
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,NC_042395,78.6
UniCOI,ESV_424473,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Madrepora,Madrepora oculata,NC_018364,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Agaraceae,Dictyoneurum,Dictyoneurum californicum,MZ156053,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,,,MN448260,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria setchellii,MN448255,78.3
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Chordariaceae,Spermatochnus,Spermatochnus paradoxus,MN184410,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria setchellii,MK959536,78.3
UniCOI,ESV_424473,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloroparvula,Chloroparvula sp. RCC999,MK086002,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria solidungula,MH310019,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Agaraceae,Thalassiophyllum,Thalassiophyllum clathrus,LC148158,77.6
UniCOI,ESV_424473,Eukaryota,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Tetragnatha cf. vermiformis JJA-2017,KY587603,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria setchellii,HM890909,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,HM890903,77.6
UniCOI,ESV_424473,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Agaraceae,Neoagarum,Neoagarum fimbriatum,AB775225,77.6
UniCOI,ESV_424472,Eukaryota,unk_phylum,Bigyra,Labyrinthulida,Labyrinthulaceae,Labyrinthula,Labyrinthula sp.,MT267870,79.9
UniCOI,ESV_424470,Eukaryota,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Montagnia,Montagnia macrospora,OL691961,100
UniCOI,ESV_424468,Eukaryota,Arthropoda,Insecta,Diptera,Cecidomyiidae,,,OQ482288,71
UniCOI,ESV_424468,Eukaryota,Arthropoda,Insecta,Diptera,Cecidomyiidae,,,OM707832,71
UniCOI,ESV_424468,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,Clathria sp. 9 PRT-2020,MT491621,71.9
