TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
BR5,ESV_141145,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,76.1
BR5,ESV_141145,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,76.1
BR5,ESV_141143,Eukaryota,Arthropoda,Arachnida,Ixodida,Ixodidae,Hyalomma,Hyalomma truncatum,KT999547,70
BR5,ESV_141142,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,75.7
BR5,ESV_141142,Eukaryota,Arthropoda,Arachnida,,,,,KR102520,76
BR5,ESV_141142,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,76.1
BR5,ESV_141142,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,76.1
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,LR655626,72.6
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,LR655624,72.6
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,LR655622,71.6
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,LR655601,72.6
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,LR655597,72.6
BR5,ESV_141141,Eukaryota,Porifera,Demospongiae,,,,,KU060566,72.6
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora florida,NC_022828,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora robusta,MN413872,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora sp. BC1,MN413857,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora loripes,MN413842,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora divaricata,MN413835,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora branchi,MN413792,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora tenuis,MN413778,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora nana,MN413732,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora arabensis,MN413729,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Galaxea,Galaxea fascicularis,MN413712,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora tenuis,MG383855,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora granulosa,MG383840,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora anthocercis,MG383836,70
BR5,ESV_141140,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora carduus,KX664115,70.1
BR5,ESV_141137,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,73.3
BR5,ESV_141137,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,73.3
BR5,ESV_141137,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Neoporphyra,Neoporphyra haitanensis,KC791165,73.9
BR5,ESV_141136,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364,KC617066,99
BR5,ESV_141135,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,76.3
BR5,ESV_141135,Eukaryota,Arthropoda,Arachnida,,,,,KR102520,75.7
BR5,ESV_141134,Eukaryota,Discosea,Flabellinia,unk_order,Vannellidae,Vannella,Vannella sp.,MH535943,75.8
BR5,ESV_141134,Eukaryota,Discosea,Flabellinia,unk_order,Vannellidae,Ripella,Ripella tribonemae,MF683622,74.8
BR5,ESV_141134,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Nannochloris,Nannochloris sp. MBTD-CMFRI-S048,KM202120,75.2
BR5,ESV_141134,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Kappaphycus,Kappaphycus sp. 'Hainan',JN854248,74.8
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855338,75.8
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855328,75.5
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855310,75.5
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855309,75.5
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855308,75.2
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855307,75.2
BR5,ESV_141134,Eukaryota,Onychophora,Udeonychophora,Euonychophora,Peripatopsidae,Peripatopsis,Peripatopsis balfouri,EU855306,75.8
BR5,ESV_141133,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sp. A13 LG-2014,KJ671756,78.1
BR5,ESV_141133,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sp. 24 LG-2014,KJ671753,78.1
BR5,ESV_141133,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros danicus,KJ671726,78.1
BR5,ESV_141129,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Mychodeaceae,Mychodea,Mychodea minutissima,KY250796,73.9
BR5,ESV_141129,Eukaryota,Discosea,unk_class,Himatismenida,Cochliopodiidae,Cochliopodium,Cochliopodium minus,KJ569712,73.2
BR5,ESV_141129,Eukaryota,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona celata,HM999033,74.2
BR5,ESV_141128,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,76
BR5,ESV_141127,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,71.7
BR5,ESV_141127,Eukaryota,Arthropoda,Arachnida,,,,,KR102520,72.3
BR5,ESV_141127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,72
BR5,ESV_141127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,72
BR5,ESV_141127,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Neoporphyra,Neoporphyra haitanensis,KC791165,71.7
BR5,ESV_141125,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,74.5
BR5,ESV_141125,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,74.5
BR5,ESV_141124,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364,KC617066,94.2
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Phosichthyidae,Phosichthys,Phosichthys argenteus,MN123463,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,Cyclothone microdon,MN123334,70.1
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Terapon,Terapon jarbua,MK340728,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Terapon,Terapon jarbua,MK340727,70.6
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Terapon,Terapon jarbua,MK340726,70.6
BR5,ESV_141122,Eukaryota,Hemichordata,,,,,,MK092028,70.3
BR5,ESV_141122,Eukaryota,Hemichordata,Enteropneusta,,,,,MK092027,70
BR5,ESV_141122,Eukaryota,Hemichordata,Enteropneusta,,,,,MK091986,70.3
BR5,ESV_141122,Eukaryota,Hemichordata,Enteropneusta,,,,,MK091974,70
BR5,ESV_141122,Eukaryota,Hemichordata,,,,,,MK091966,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura chuni,MG856811,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura chuni,MG856744,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura indica,MG856470,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura indica,MF041587,70.6
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura chuni,MF041305,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Stomiidae,Stomias,Stomias affinis,KU943040,70
BR5,ESV_141122,Eukaryota,Chordata,Amphibia,Anura,Ranidae,Sylvirana,Sylvirana nigrovittata,KR087724,70.4
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Bidyanus,Bidyanus welchi,KJ669396,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Knipowitschia,Knipowitschia panizzae,KJ553643,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Knipowitschia,Knipowitschia panizzae,KJ553310,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Bidyanus,Bidyanus bidyanus,KF999850,70.3
BR5,ESV_141122,Eukaryota,Chordata,Amphibia,Anura,Microhylidae,Rhombophryne,Rhombophryne matavy,KF611589,70.3
BR5,ESV_141122,Eukaryota,Chordata,Amphibia,Anura,Microhylidae,Plethodontohyla,Plethodontohyla ocellata,KF611576,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Terapon,Terapon jarbua,JQ342108,70
BR5,ESV_141122,Eukaryota,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia plumbea,JQ175147,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Micropterus,Micropterus dolomieu,JN027226,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Notosudidae,Scopelosaurus,Scopelosaurus meadi,HQ564010,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Phosichthyidae,Phosichthys,Phosichthys argenteus,HQ563946,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Phosichthyidae,Phosichthys,Phosichthys argenteus,HQ563945,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Stomiiformes,Phosichthyidae,Phosichthys,Phosichthys argenteus,HQ563944,70.3
BR5,ESV_141122,Eukaryota,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pomona,HM540605,70.3
BR5,ESV_141122,Eukaryota,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pomona,HM540601,71
BR5,ESV_141122,Eukaryota,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pomona,HM540600,70.3
BR5,ESV_141122,Eukaryota,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pomona,HM540598,70.6
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Alepocephaliformes,Alepocephalidae,Talismania,Talismania sp. FOAG213-08,HM422381,70
BR5,ESV_141122,Eukaryota,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa brevipes,GQ482778,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,Melamphaes lugubris,FJ164841,70.3
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,Melamphaes lugubris,FJ164838,70.6
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,Melamphaes lugubris,FJ164837,70
BR5,ESV_141122,Eukaryota,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia plumbea,FJ027683,70
BR5,ESV_141122,Eukaryota,Chordata,Actinopteri,Aulopiformes,Giganturidae,Gigantura,Gigantura chuni,EU366556,70
BR5,ESV_141121,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,MT684642,71.3
BR5,ESV_141121,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,MT684630,71.3
BR5,ESV_141121,Eukaryota,Arthropoda,Arachnida,,,,,KR102520,71.2
BR5,ESV_141120,Eukaryota,Arthropoda,Arachnida,,,,,KR102520,71.3
BR5,ESV_141118,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,74.5
BR5,ESV_141118,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,73.6
BR5,ESV_141118,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,73.6
BR5,ESV_141117,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,MT684685,73.5
BR5,ESV_141117,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,73
BR5,ESV_141117,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,73
BR5,ESV_141116,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364,KC617066,74.5
BR5,ESV_141115,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,KJ671751,70.6
BR5,ESV_141115,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira curviseriata,KJ671749,70.6
